id,case_number,date,block,iucr,crime_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,city,data_source,fetch_date
14071746,JK101132,2026-01-01 20:30:00,019XX N SHEFFIELD AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,1811,018,43,7,04B,1169324,1913072,2026,2026-01-09T15:43:07.000,41.916982462,-87.653330355,"{'latitude': '41.916982462', 'longitude': '-87.653330355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071739,JK101101,2026-01-01 20:40:00,064XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0312,003,20,69,08B,1180026,1862472,2026,2026-01-09T15:43:07.000,41.777893176,-87.615565514,"{'latitude': '41.777893176', 'longitude': '-87.615565514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14082418,JK113652,2026-01-01 20:47:00,051XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,APARTMENT,False,False,0233,002,20,40,08B,1179795,1871122,2026,2026-01-15T15:42:23.000,41.801634875,-87.616147829,"{'latitude': '41.801634875', 'longitude': '-87.616147829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072773,JK101565,2026-01-01 21:00:00,082XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,False,True,0631,006,8,44,08B,1182994,1850471,2026,2026-01-09T15:43:07.000,41.74489273,-87.60505734,"{'latitude': '41.74489273', 'longitude': '-87.60505734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072018,JK101382,2026-01-01 21:30:00,079XX S CHAMPLAIN AVE,031A,ROBBERY,ARMED - HANDGUN,APARTMENT,False,False,0624,006,6,44,03,1181941,1852554,2026,2026-01-09T15:43:07.000,41.750633101,-87.608851383,"{'latitude': '41.750633101', 'longitude': '-87.608851383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071721,JK101112,2026-01-01 21:45:00,002XX W GARFIELD BLVD,031A,ROBBERY,ARMED - HANDGUN,RESTAURANT,False,False,0711,007,20,68,03,1175418,1868365,2026,2026-01-09T15:43:07.000,41.794168488,-87.632282306,"{'latitude': '41.794168488', 'longitude': '-87.632282306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14073539,JK101148,2026-01-01 22:05:00,071XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0323,003,6,69,08B,1181797,1857905,2026,2026-01-09T15:43:07.000,41.765320132,-87.609214012,"{'latitude': '41.765320132', 'longitude': '-87.609214012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071758,JK101147,2026-01-01 22:10:00,058XX S CLAREMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,0824,008,16,63,08B,1161751,1865912,2026,2026-01-09T15:43:07.000,41.787732044,-87.68246677,"{'latitude': '41.787732044', 'longitude': '-87.68246677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14074673,JK101135,2026-01-01 22:21:00,0000X W TERMINAL ST,0460,BATTERY,SIMPLE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,1655,016,41,76,08B,1104700,1933741,2026,2026-01-09T15:43:07.000,41.974861952,-87.890372151,"{'latitude': '41.974861952', 'longitude': '-87.890372151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071772,JK101141,2026-01-01 22:23:00,008XX N NOBLE ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,False,1213,012,27,24,04A,1166906,1905755,2026,2026-01-09T15:43:07.000,41.896956409,-87.662424292,"{'latitude': '41.896956409', 'longitude': '-87.662424292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
